locus	selected_path_id	source	segmentation	rule
f84r.17	f84r.17|P01	pchol cphol sol teol tedy qotedy qokeedy qokeey ol keedy teyqokedy qopor oly	pchol | cphol | sol | teol | tedy | qotedy | qokeedy | qokeey | ol | keedy | teyqokedy | qopor | oly	source-symbol stream
f84r.18	f84r.18|P01	otchy olshedy qokedy shedy okedy shckhy chckhy olchey schey dal chckhy ral	otchy | olshedy | qokedy | shedy | okedy | shckhy | chckhy | olchey | schey | dal | chckhy | ral	source-symbol stream
f84r.19	f84r.19|P01	qokey sol yqokain qolkeey qotedy qokain shedy salchedy	qokey | sol | yqokain | qolkeey | qotedy | qokain | shedy | salchedy	source-symbol stream
f84r.2	f84r.2|P01	or shekar	or | shekar	source-symbol stream
f84r.20	f84r.20|P01	psholpchcfhdy qokeedy dy qokedy daiin shckhedy qokaiin checthy dar checthy am	psholpchcfhdy | qokeedy | dy | qokedy | daiin | shckhedy | qokaiin | checthy | dar | checthy | am	source-symbol stream
f84r.21	f84r.21|P01	qokaiin chol cheky okal y chey okal chedy tor y otshedy qokey l shedy	qokaiin | chol | cheky | okal | y | chey | okal | chedy | tor | y | otshedy | qokey | l | shedy	source-symbol stream
f84r.22	f84r.22|P01	qotchsdy ykeedy qokal ol shedy qokedy qokeedy qokeedy chedy raiin chey otar dar	qotchsdy | ykeedy | qokal | ol | shedy | qokedy | qokeedy | qokeedy | chedy | raiin | chey | otar | dar	source-symbol stream
f84r.23	f84r.23|P01	dar sheor shcthy qokeor qotedy rshedy qolchey oteey qol shedy ol dain ol or	dar | sheor | shcthy | qokeor | qotedy | rshedy | qolchey | oteey | qol | shedy | ol | dain | ol | or	source-symbol stream
f84r.24	f84r.24|P01	pol tar shedy qokedy okal shey qokar chckhy otchey qokchedy chey qokaiin	pol | tar | shedy | qokedy | okal | shey | qokar | chckhy | otchey | qokchedy | chey | qokaiin	source-symbol stream
f84r.25	f84r.25|P01	pchedy qotchedy otaiiin chcthy shedy otedy qoty qotedy ol okedy otedy ram	pchedy | qotchedy | otaiiin | chcthy | shedy | otedy | qoty | qotedy | ol | okedy | otedy | ram	source-symbol stream
f84r.26	f84r.26|P01	qotol shy oty dar shcthy schdy qokeedy olkey	qotol | shy | oty | dar | shcthy | schdy | qokeedy | olkey	source-symbol stream
f84r.27	f84r.27|P01	palchd chedy shcthy olky dar opalkaiin o qofchedy or aiiin ofoly oroly	palchd | chedy | shcthy | olky | dar | opalkaiin | o | qofchedy | or | aiiin | ofoly | oroly	source-symbol stream
f84r.28	f84r.28|P01	sar ol olaiin y qol y qor or ckhedy chkedy okain shedy qokolchedy olain	sar | ol | olaiin | y | qol | y | qor | or | ckhedy | chkedy | okain | shedy | qokolchedy | olain	source-symbol stream
f84r.29	f84r.29|P01	qokeedy okeey dar olchedy qsolkeedy rar checkhy otar chedy olchcthy lor	qokeedy | okeey | dar | olchedy | qsolkeedy | rar | checkhy | otar | chedy | olchcthy | lor	source-symbol stream
f84r.3	f84r.3|P01	ydy	ydy	source-symbol stream
f84r.30	f84r.30|P01	dchdy qokedy ol chckhy olchdy sar or ykeedy chetey rain shedy shekam	dchdy | qokedy | ol | chckhy | olchdy | sar | or | ykeedy | chetey | rain | shedy | shekam	source-symbol stream
f84r.31	f84r.31|P01	ykchdar or arar shedy qokal daiin shedy olkedy qokedy qoky chedy daiin	ykchdar | or | arar | shedy | qokal | daiin | shedy | olkedy | qokedy | qoky | chedy | daiin	source-symbol stream
