language	unit	held_occurrences	modal_category	category_consensus_fraction	modal_output	exact_mapping_consensus_fraction	all_categories	all_outputs
middle_high_german	Edy	312	L	0.5	e	0.3333333333333333	L,L,S,S,L,S	n,e,ere,ine,e,diu
middle_high_german	ey	259	L	0.5	e	0.3333333333333333	L,S,S,L,L,S	n,ten,ant,e,e,gen
middle_high_german	edy	253	L	0.5	n	0.3333333333333333	L,L,S,S,L,S	n,n,ach,te,e,ane
middle_high_german	Sey	148	L	0.5	e	0.3333333333333333	L,L,S,S,L,S	t,e,ez,im,e,sol
middle_high_german	ok	625	S	0.3333333333333333		0.3333333333333333	S,W,N,S,W,N	ger,gesellen,,ges,uuaren,
middle_high_german	Ce	609	W	0.3333333333333333		0.3333333333333333	W,S,W,N,N,S	geschiht,ber,gesehen,,,sch
middle_high_german	or	535	W	1.0	geuuan	0.16666666666666666	W,W,W,W,W,W	geuuan,uuolde,vrouuue,guoten,uuaere,sinen
middle_high_german	s	486	W	1.0	geriten	0.16666666666666666	W,W,W,W,W,W	geriten,ritter,geschehen,mohte,vrouuuen,enmohte
middle_high_german	ody	272	S	1.0	ten	0.16666666666666666	S,S,S,S,S,S	ten,in,zen,ein,eit,iht
middle_high_german	Se	260	S	1.0	ges	0.16666666666666666	S,S,S,S,S,S	ges,uua,man,ger,der,sin
middle_high_german	Cy	212	S	1.0	gen	0.16666666666666666	S,S,S,S,S,S	gen,ich,daz,als,uue,des
middle_high_german	dy	204	S	1.0	ich	0.16666666666666666	S,S,S,S,S,S	ich,nen,uue,ste,en,ere
middle_high_german	Cor	100	S	1.0	die	0.16666666666666666	S,S,S,S,S,S	die,ben,mit,sin,und,vil
middle_high_german	x	11	L	1.0	m	0.16666666666666666	L,L,L,L,L,L	m,r,o,z,n,t
middle_high_german	j	3	L	1.0	s	0.16666666666666666	L,L,L,L,L,L	s,z,l,t,n,a
middle_high_german	k	478	W	0.8333333333333334	uue	0.16666666666666666	S,W,W,W,W,W	uue,vrouuue,under,geriten,geuuan,uuol
