book	query_record	truth_dimension	truth_target_record	truth_set_jaccard	representation	candidate_pool	model_rank	reciprocal_rank	top1	top10	top_decile	normalized_rank	model_set_jaccard
Band2	NB_B2_R000010	ADDRESSEE	NB_B2_R000209	0.75	RAW_CHAR3	463	5	0.2	0	1	1	0.0107991360691	0.382892057026
Band2	NB_B2_R000010	ADDRESSEE	NB_B2_R000209	0.75	PAGE_HOST_IDENTITY	463	6	0.166666666667	0	1	1	0.0129589632829	0.272727272727
Band2	NB_B2_R000010	ADDRESSEE	NB_B2_R000209	0.75	PAGE_HOST_CHAR3	463	1	1	1	1	1	0.00215982721382	0.397619047619
Band2	NB_B2_R000010	ADDRESSEE	NB_B2_R000209	0.75	COMPILER_SIGNATURE	463	144	0.00694444444444	0	0	0	0.31101511879	0.344827586207
Band2	NB_B2_R000010	ADDRESSEE	NB_B2_R000209	0.75	MARKER_AND_POSITION	463	231	0.004329004329	0	0	0	0.498920086393	0.6
Band2	NB_B2_R000010	ADDRESSEE	NB_B2_R000209	0.75	HOST_PLUS_COMPILER	463	7	0.142857142857	0	1	1	0.0151187904968	0.217948717949
Band2	NB_B2_R000011	CONTENT	NB_B2_R000405	0.274809160305	RAW_GROUP_IDENTITY	461	16	0.0625	0	0	1	0.0347071583514	0.197452229299
Band2	NB_B2_R000011	CONTENT	NB_B2_R000405	0.274809160305	RAW_CHAR3	461	119	0.00840336134454	0	0	0	0.258134490239	0.29363449692
Band2	NB_B2_R000011	CONTENT	NB_B2_R000405	0.274809160305	PAGE_HOST_IDENTITY	461	104	0.00961538461538	0	0	0	0.225596529284	0.214285714286
Band2	NB_B2_R000011	CONTENT	NB_B2_R000405	0.274809160305	PAGE_HOST_CHAR3	461	97	0.0103092783505	0	0	0	0.210412147505	0.304556354916
Band2	NB_B2_R000011	CONTENT	NB_B2_R000405	0.274809160305	COMPILER_SIGNATURE	461	334	0.00299401197605	0	0	0	0.724511930586	0.225806451613
Band2	NB_B2_R000011	CONTENT	NB_B2_R000405	0.274809160305	MARKER_AND_POSITION	461	386	0.00259067357513	0	0	0	0.837310195228	0.533333333333
Band2	NB_B2_R000011	CONTENT	NB_B2_R000405	0.274809160305	HOST_PLUS_COMPILER	461	16	0.0625	0	0	1	0.0347071583514	0.197452229299
Band2	NB_B2_R000011	ADDRESSEE	NB_B2_R000023	0.4	RAW_GROUP_IDENTITY	461	5	0.2	0	1	1	0.0108459869848	0.215827338129
Band2	NB_B2_R000011	ADDRESSEE	NB_B2_R000023	0.4	RAW_CHAR3	461	5	0.2	0	1	1	0.0108459869848	0.344339622642
Band2	NB_B2_R000011	ADDRESSEE	NB_B2_R000023	0.4	PAGE_HOST_IDENTITY	461	3	0.333333333333	0	1	1	0.00650759219089	0.275
Band2	NB_B2_R000011	ADDRESSEE	NB_B2_R000023	0.4	PAGE_HOST_CHAR3	461	8	0.125	0	1	1	0.0173535791757	0.350828729282
Band2	NB_B2_R000011	ADDRESSEE	NB_B2_R000023	0.4	COMPILER_SIGNATURE	461	112	0.00892857142857	0	0	0	0.24295010846	0.296296296296
Band2	NB_B2_R000011	ADDRESSEE	NB_B2_R000023	0.4	MARKER_AND_POSITION	461	248	0.00403225806452	0	0	0	0.537960954447	0.615384615385
Band2	NB_B2_R000011	ADDRESSEE	NB_B2_R000023	0.4	HOST_PLUS_COMPILER	461	5	0.2	0	1	1	0.0108459869848	0.215827338129
